market_id,question,slug,end_date,active,closed,category_raw,group_item_title,volume,liquidity,condition_id,tokens,category
540816,Russia-Ukraine Ceasefire before GTA VI?,russia-ukraine-ceasefire-before-gta-vi-554,2026-07-31T12:00:00Z,True,False,,Russia-Ukraine Ceasefire,1519894.755692975,50468.907,0x9c1a953fe92c8357f1b646ba25d983aa83e90c525992db14fb726fa895cb5763,"['8501497159083948713316135768103773293754490207922884688769443031624417212426', '2527312495175492857904889758552137141356236738032676480522356889996545113869']",OTHER
540817,New Rihanna Album before GTA VI?,new-rhianna-album-before-gta-vi-926,2026-07-31T12:00:00Z,True,False,,New Rihanna Album,696988.9749450017,33597.4376,0x1fad72fae204143ff1c3035e99e7c0f65ea8d5cd9bd1070987bd1a3316f772be,"['98022490269692409998126496127597032490334070080325855126491859374983463996227', '53831553061883006530739877284105938919721408776239639687877978808906551086026']",OTHER
540818,New Playboi Carti Album before GTA VI?,new-playboi-carti-album-before-gta-vi-421,2026-07-31T12:00:00Z,True,False,,New Playboi Carti Album ,725483.885029997,33464.2309,0x50ddb9cd80d5c271664a2ebb7fcaed1d0a148d82c8e8d314d830f75a944c3dcc,"['88275040060084773376557187972215267513049848642895776801789297917961077894224', '94376205816022955542979635542279932967359915765455578534002478996104754801969']",OTHER
540819,Will Jesus Christ return before GTA VI?,will-jesus-christ-return-before-gta-vi-665,2026-07-31T12:00:00Z,True,False,,Jesus Christ returns,11019087.453953989,843000.7925,0x32b09f6390252b37d674501527e709016d55581b2c1e544bd4b8167f5f732f4c,"['90435811253665578014957380826505992530054077692143838383981805324273750424057', '92388629082681805622801622703528982922543286352927708208755887536971583436902']",OTHER
540820,Trump out as President before GTA VI?,trump-out-as-president-before-gta-vi-846,2026-07-31T12:00:00Z,True,False,,Trump out as President ,590497.387321011,63130.5573,0x84f8b70331323c2fba97d7ceaa9a35fb645a0770d0dbff169d07f24f376766e9,"['108999723207897941876452935557011604067917389120996960199512481363958770540884', '64533579809297525579033609963634939501013332859992608996100633472507000251907']",POLITICS
540843,Will China invades Taiwan before GTA VI?,will-china-invades-taiwan-before-gta-vi-716,2026-07-31T12:00:00Z,True,False,,China invades Taiwan ,1784840.0110400587,81278.8336,0x7b49b9bacb5f435bc10f3b100ff59e2fdd346f7f92a9001881bc9825a0af0f11,"['21695138873211375451055566770107682325494206727818897067665810321709249824909', '17516427576383382756368467656206258206490015951115433065318503962238754362428']",OTHER
540844,Will bitcoin hit $1m before GTA VI?,will-bitcoin-hit-1m-before-gta-vi-872,2026-07-31T12:00:00Z,True,False,,Bitcoin hits $1m,3987953.914920567,470486.25597,0xbb57ccf5853a85487bc3d83d04d669310d28c6c810758953b9d9b91d1aee89d2,"['105267568073659068217311993901927962476298440625043565106676088842803600775810', '91863162118308663069733924043159186005106558783397508844234610341221325526200']",CRYPTO
540881,GTA VI released before June 2026?,gta-vi-released-before-june-2026,2026-05-31T12:00:00Z,True,False,,,13602642.476633048,60003.33437,0xcccb7e7613a087c132b69cbf3a02bece3fdcb824c1da54ae79acc8d4a562d902,"['8441400852834915183759801017793514978104486628517653995211751018945988243154', '109289569086508934142323222102974769075074494425163878721602922903101062859033']",OTHER
544092,Will Harvey Weinstein be sentenced to no prison time?,will-harvey-weinstein-be-sentenced-to-no-prison-time,2025-12-31T12:00:00Z,True,False,,No Prison Time,317714.6088180011,1224.01781,0xf398b0e5016eeaee9b0885ed84012b6dc91269ac10d3b59d60722859c2e30b2f,"['24327803960645909378149041810697343640752122608192367041827900158592826352552', '86488478623677188352872801318507143761188967461168408688159600382919967378486']",CRYPTO
544093,Will Harvey Weinstein be sentenced to less than 5 years in prison?,will-harvey-weinstein-be-sentenced-to-less-than-5-years-in-prison,2025-12-31T12:00:00Z,True,False,,<5 years,92936.87950300003,6547.97505,0xe2b48e3b44de9658ee9c8b37354301763e33c0b502fd966839d644b4c0a9dea8,"['77166477669007661974218999697956080000161736671391584414287437514245884953047', '47055352475798285920984907840917431698812931301054546103955312973973172985230']",CRYPTO
544094,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,will-harvey-weinstein-be-sentenced-to-between-5-and-10-years-in-prison,2025-12-31T12:00:00Z,True,False,,5-10 years,51886.72334200017,1599.77036,0x3209617364a0d598435806b59d0d056b606022dc9028c466ad7912df94fc170c,"['8585617872562550075367684165842985213222082790621129799520234539666057750015', '103705222348348023632358209307161171933864556870678885035120650593331360918837']",CRYPTO
544095,Will Harvey Weinstein be sentenced to between 10 and 20 years in prison?,will-harvey-weinstein-be-sentenced-to-between-10-and-20-years-in-prison,2025-12-31T12:00:00Z,True,False,,10-20 years,138163.41129099985,760.52333,0x3d495a3e05eaffe438bb1c2ab97ed57a79b0a6ab18a2ca6fa5b448e20ce70082,"['15540133404064485946536607974212890170021691204987131841181394872998839987451', '63603874958591978684257718702104189214159397118281244112857573557732401361881']",CRYPTO
544096,Will Harvey Weinstein be sentenced to between 20 and 30 years in prison?,will-harvey-weinstein-be-sentenced-to-between-20-and-30-years-in-prison,2025-12-31T12:00:00Z,True,False,,20-30 years,177697.72818500036,1510.19572,0xdee5db5410b362783a1405b66b9aa08a7d050ae1f99e8da85b9d1ae7962dad3b,"['40689385937970031985272152180777653235879119412231903065658922913468759560353', '109223657334725476924710634471321315385389367621714474291402615707818729630121']",CRYPTO
544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,will-harvey-weinstein-be-sentenced-to-more-than-30-years-in-prison,2025-12-31T12:00:00Z,True,False,,30+ years,54751.42238200004,2937.92482,0x2499928ffbe6022444543dcd940075259cecb5e41e346284b578cb64e1404d32,"['87036266705700330884624690101790543034325645582506946990660049003915176778714', '26608800110066527607246656145735191327716408714826934367635297922290688100618']",CRYPTO
553824,Will the Carolina Hurricanes win the 2026 NHL Stanley Cup?,will-the-carolina-hurricanes-win-the-2026-nhl-stanley-cup,2026-06-30T00:00:00Z,True,False,,Carolina Hurricanes,333931.7305330003,132317.4828,0xf7b5491e70b477d451afe7d9c1fde4bf1a927e69ff289d294b96df164f6c10f0,"['79397003434468715775480922117285203652110865791390656395657957066470661722480', '40473977441010332007887229299980126707900816205713676157646215720073415416624']",SPORTS
553826,Will the Edmonton Oilers win the 2026 NHL Stanley Cup?,will-the-edmonton-oilers-win-the-2026-nhl-stanley-cup,2026-06-30T00:00:00Z,True,False,,Edmonton Oilers,519952.2520460026,51999.4609,0x4a67e1270a2ed86be8fc524b6114640e41b0c56303ecaa9584deacd62402650a,"['26994926807159308505531352241892510362185630293975165092400997815774500370214', '93243135936056253080731148169253301176422868656587067154045597758216732275467']",SPORTS
553827,Will the Dallas Stars win the 2026 NHL Stanley Cup?,will-the-dallas-stars-win-the-2026-nhl-stanley-cup,2026-06-30T00:00:00Z,True,False,,Dallas Stars,1190894.1958409944,154855.60884,0x44887f53abbfe7531b1384420b185a5f10ee42a4e6c9441d5883abd4f3c1e5ef,"['17581551835670188629115760053820570516688258623733228909199148495084738589631', '48350886075645487969183664927181889134443172406220772590108122172302333217567']",SPORTS
